date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:11	277297/277297	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f41e867-43b31%22	https://colorlib.com/preview/theme/weddingdreams/fonts/ElegantIcons.svg	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/fonts/ElegantIcons.svg	(from https://colorlib.com/preview/theme/weddingdreams/css/elegant-icons.css)
15:40:11	139/139	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Sep%202020%2010:10:12%20GMT	https://colorlib.com/preview/theme/weddingdreams/css/owl.video.play.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/css/owl.video.play.png	(from https://colorlib.com/preview/theme/weddingdreams/css/owl.carousel.min.css)
15:40:12	179089/179089	---M--	200	added ('OK')	image/png	etag:%225f41e8c4-2bb91%22	https://colorlib.com/preview/theme/weddingdreams/img/icon/form-left.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/icon/form-left.png	(from https://colorlib.com/preview/theme/weddingdreams/css/style.css)
15:40:13	179215/179215	---M--	200	added ('OK')	image/png	etag:%225f41e8c8-2bc0f%22	https://colorlib.com/preview/theme/weddingdreams/img/icon/form-right.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/icon/form-right.png	(from https://colorlib.com/preview/theme/weddingdreams/css/style.css)
15:40:13	2165/2165	---M--	200	added ('OK')	image/png	etag:%225f41e8bd-875%22	https://colorlib.com/preview/theme/weddingdreams/img/icon/arrow.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/icon/arrow.png	(from https://colorlib.com/preview/theme/weddingdreams/css/style.css)
15:40:14	93514/93514	---M--	200	added ('OK')	image/png	etag:%225f41e8c0-16d4a%22	https://colorlib.com/preview/theme/weddingdreams/img/icon/flower-img.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/icon/flower-img.png	(from https://colorlib.com/preview/theme/weddingdreams/css/style.css)
15:40:16	173343/173343	---M--	200	added ('OK')	image/jpeg	etag:%225f41e873-2a51f%22	https://colorlib.com/preview/theme/weddingdreams/img/breadcrumb-bg.jpg	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/breadcrumb-bg.jpg	(from https://colorlib.com/preview/theme/weddingdreams/services.html)
15:40:16	2978/2978	---M--	200	added ('OK')	image/png	etag:%225f41e8c6-ba2%22	https://colorlib.com/preview/theme/weddingdreams/img/icon/pricing-icon.png	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/icon/pricing-icon.png	(from https://colorlib.com/preview/theme/weddingdreams/services.html)
15:40:19	38768/38768	---M--	200	added ('OK')	image/jpeg	etag:%225f41e8da-9770%22	https://colorlib.com/preview/theme/weddingdreams/img/portfolio/portfolio-2.jpg	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/portfolio/portfolio-2.jpg	(from https://colorlib.com/preview/theme/weddingdreams/portfolio.html)
15:40:19	242616/242616	---M--	200	added ('OK')	image/jpeg	etag:%225f41e8da-3b3b8%22	https://colorlib.com/preview/theme/weddingdreams/img/portfolio/portfolio-1.jpg	C:/My%20Web%20Sites/PROGRAM/colorlib.com/preview/theme/weddingdreams/img/portfolio/portfolio-1.jpg	(from https://colorlib.com/preview/theme/weddingdreams/portfolio.html)
